[12340:21056:0201/141326.048:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[12340:21056:0201/141326.158:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[808:2516:0201/141332.862:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-2A2813E9D43C3DFE9496F0E2053C9A9E will be ignored
[11124:18876:0201/142242.107:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 8-E7D2669735FFA2D9BA3AEC55E0016F7D will be ignored
[12740:8024:0201/142358.691:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(103,1-6): warning X4000: use of potentially uninitialized variable (dyn_index_vec4_float4_int)

[12740:10728:0201/142358.802:WARNING:angle_platform_impl.cc(49)] HLSLCompiler.cpp:250 (rx::HLSLCompiler::compileToBinary): 
C:\fakepath(136,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(138,1): warning X4000: use of potentially uninitialized variable (f_i_int_int_int2)
C:\fakepath(174,1): warning X4000: use of potentially uninitialized variable (f_u_int_int_int)

[12740:18408:0201/142403.374:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #959).
[12740:18408:0201/142403.440:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #962).
[12740:18408:0201/142403.508:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #965).
[12740:18408:0201/142403.574:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #968).
[12740:18408:0201/142403.641:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #971).
[12740:18408:0201/142403.708:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #974).
[12740:18408:0201/142403.775:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #977).
[12740:18408:0201/142403.791:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #977).
[12740:18408:0201/142403.908:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #983).
[12740:18408:0201/142403.989:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #987).
[12740:18408:0201/142404.108:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #993).
[12740:18408:0201/142404.174:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #996).
[12740:18408:0201/142404.190:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #996).
